elapsed_time,distance,latitude,longitude,altitude,l_r_balance,power,cadence,speed,heartrate,ankling_log_left,ankling_log_right,foot_range_log_left,foot_range_log_right,leg_range_log_left,leg_range_log_right,pedaling_delay_log_left,pedaling_delay_log_right,waist_angle_log_center,waist_d_rot_y_center,waist_d_rot_z_center,torso_angle_log_center,torso_d_rot_y_center,torso_d_rot_z_center
2,,36.9856,136.79163,41,,,,0.0,,,,,,,,,,57.9,3.2,0.7,28.0,2.0,2.2
3,0,36.985603,136.79161,41,,,,0.0,,,,,,,,,,52.1,6.8,2.0,19.8,1.4,1.7
4,,36.985607,136.7916,41,,,,0.01,,,,,,,,,,49.3,4.6,2.7,18.2,1.0,2.7
5,3,36.985622,136.79156,41,,,,4.09,,,,,,,,,,54.7,8.3,4.6,20.9,4.4,10.1
6,7,36.985695,136.79149,41,,462,32,5.56,,0.0,0.0,45.9,,,,7.2,7.5,54.4,24.1,7.6,21.2,4.1,14.4
7,13,36.98575,136.79147,42,,526,76,6.38,,0.0,0.0,,53.7,,,16.1,18.1,53.9,25.6,11.2,16.7,6.0,9.7
8,19,36.985825,136.79144,42,,606,86,7.23,,0.0,0.0,43.7,,,,11.7,10.4,51.5,21.0,11.4,19.6,5.7,10.4
9,30,36.9859,136.79143,42,,544,95,8.03,,0.0,0.0,43.7,52.9,,,41.9,29.4,51.7,16.6,11.9,17.8,3.1,7.3
10,38,36.98598,136.7914,43,,532,89,8.42,,0.0,6.2,52.7,,,,1.6,5.4,48.2,18.9,11.5,13.0,3.8,7.0
11,44,36.98606,136.79138,43,,521,83,8.99,,0.0,5.5,42.9,58.8,,,26.5,14.7,50.6,19.0,11.4,15.8,4.7,7.5
12,55,36.98615,136.79135,43,,494,83,9.42,,0.0,0.0,,47.5,,,7.7,40.1,49.7,16.4,12.2,15.0,5.1,7.1
13,63,,,44,,405,85,9.76,,0.0,0.0,,,,,33.2,3.5,46.7,9.2,10.3,15.4,5.1,5.6
14,74,36.986237,136.79135,44,,369,89,10.11,,0.0,0.0,,51.8,,,36.3,24.9,47.9,10.1,7.4,12.9,9.8,7.5
15,84,36.986427,136.79128,44,,393,91,10.47,,0.0,0.0,54.9,54.7,,,32.8,29.1,47.7,8.7,7.5,12.3,8.6,8.9
16,97,36.98652,136.79124,45,,403,95,10.84,,0.0,0.0,54.2,53.4,,,29.7,38.1,47.7,6.4,9.4,9.6,7.3,8.4
17,105,,,45,,392,99,11.2,,0.0,0.0,53.6,55.0,,,30.5,40.8,48.0,7.1,10.6,12.5,8.0,7.9
18,118,36.98662,136.79123,46,,388,102,11.41,,0.0,0.0,53.8,56.3,,,29.9,33.9,48.4,7.0,9.1,12.6,7.3,7.8
19,128,36.986725,136.7912,46,,408,105,11.73,,0.0,0.0,,56.8,,,19.2,35.2,48.0,7.8,8.9,13.1,7.1,7.7
20,141,,,46,,303,103,11.95,,0.0,0.0,45.3,,,,24.3,42.6,45.9,8.3,9.0,13.6,5.8,7.2
21,151,,,47,,268,88,12.0,,0.0,0.0,45.3,,,,27.0,36.9,46.4,5.4,6.1,13.1,3.6,6.0
22,170,36.987045,136.79112,47,,334,89,12.07,,0.0,0.0,,53.2,,,28.9,25.2,47.1,7.2,4.1,12.9,3.6,6.1
23,179,36.987263,136.79106,48,,389,89,12.11,,0.0,0.0,,,,,31.6,47.3,47.7,9.3,5.6,14.6,5.4,7.9
24,187,36.987373,136.79103,48,,411,95,12.2,,0.0,0.0,54.4,51.8,,,10.4,25.9,47.0,4.3,8.4,12.4,7.4,8.9
25,204,36.987484,136.79102,49,,428,97,12.25,,0.0,2.0,56.1,56.1,,,1.8,43.4,46.3,4.6,9.8,11.6,6.4,8.1
26,212,36.98759,136.79097,49,,365,97,12.33,,0.0,0.0,53.2,51.9,,,27.3,34.2,47.0,8.6,5.4,10.2,6.8,7.7
27,225,36.987705,136.79094,50,,342,97,12.34,,0.0,0.0,54.7,53.3,,,22.8,34.4,47.0,7.8,5.5,9.9,6.9,7.0
28,237,,,50,,389,98,12.35,,0.0,0.0,54.7,51.4,,,26.8,29.9,47.3,6.0,8.2,11.1,7.7,7.2
29,250,36.98782,136.79091,51,,360,98,12.43,,0.0,0.0,53.7,52.0,,,30.5,34.4,46.9,7.8,7.9,10.9,7.7,7.8
30,265,36.98804,136.79085,51,,363,98,12.47,,0.0,0.0,52.9,51.2,,,13.4,38.1,46.8,7.4,7.3,15.3,7.1,7.8
31,273,36.98815,136.79082,51,,350,99,12.5,,0.0,0.0,54.3,54.1,,,32.6,30.9,47.7,6.6,7.3,9.7,6.4,6.9
32,285,36.98826,136.79079,52,,359,98,12.46,,0.0,0.0,52.9,52.5,,,29.6,32.7,46.0,4.6,6.3,10.7,6.2,6.9
33,298,36.98837,136.79076,52,,327,99,12.47,,0.0,1.5,52.8,54.5,,,33.9,32.3,45.7,3.9,6.4,10.8,5.5,6.9
34,311,36.98848,136.79073,53,,328,98,12.41,,0.0,0.0,,51.9,,,29.8,26.8,46.3,5.9,4.3,11.9,4.4,5.9
35,323,36.988598,136.7907,53,,371,98,12.47,,0.0,0.0,52.5,53.5,,,30.2,34.9,46.3,7.7,5.1,10.5,4.1,5.9
36,336,36.988705,136.79066,54,,354,99,12.49,,0.0,0.0,53.0,50.5,,,32.8,29.3,46.5,6.5,7.2,11.4,6.3,7.3
37,350,36.98882,136.79065,54,,351,99,12.5,,0.0,0.0,52.6,50.1,,,30.1,24.6,46.9,5.7,7.5,13.2,5.9,7.0
38,361,36.988922,136.79062,55,,331,99,12.56,,0.0,0.0,,52.3,,,31.0,37.0,46.9,6.8,7.1,11.4,4.7,6.2
39,376,36.989037,136.79059,55,,347,99,12.56,,0.0,0.0,52.0,50.2,,,36.2,34.9,47.0,7.2,6.8,12.2,5.3,6.8
40,386,36.989155,136.79056,55,,317,99,12.6,,0.0,0.0,52.4,,,,36.8,29.8,47.0,5.7,7.0,10.0,5.1,6.1
41,405,36.98926,136.79053,56,,334,100,12.61,,0.0,0.0,50.9,50.3,,,29.6,34.8,46.8,6.3,6.5,12.1,4.6,5.7
42,413,36.989376,136.7905,56,,388,100,12.68,,0.0,0.0,53.6,53.3,,,34.0,3.4,47.0,7.3,6.5,12.2,4.1,6.2
43,428,36.98949,136.79045,56,,368,100,12.66,,0.0,0.0,,55.9,,,24.1,36.6,43.9,4.4,6.9,11.8,4.2,6.4
44,438,36.989605,136.79042,56,,288,100,12.63,,0.0,0.0,,50.6,,,29.3,34.1,45.3,4.6,4.7,12.3,4.5,5.1
