elapsed_time,distance,latitude,longitude,altitude,l_r_balance,power,cadence,speed,heartrate,ankling_log_left,ankling_log_right,foot_range_log_left,foot_range_log_right,leg_range_log_left,leg_range_log_right,pedaling_delay_log_left,pedaling_delay_log_right,waist_angle_log_center,waist_d_rot_y_center,waist_d_rot_z_center,torso_angle_log_center,torso_d_rot_y_center,torso_d_rot_z_center
2158,25599,36.985397,136.7915,47,,341,87,12.74,,0.0,0.0,48.3,50.8,,,9.4,7.5,49.3,9.2,4.5,11.8,7.3,8.4
2159,25616,36.985508,136.79149,47,,331,87,12.72,,0.0,0.0,47.0,53.8,,,4.8,3.6,47.5,8.1,5.2,11.1,7.7,8.7
2160,25624,36.98562,136.79144,47,,299,87,12.67,,25.2,4.1,,,,,30.7,46.0,44.9,6.6,4.3,10.5,7.1,8.7
2161,25637,36.985725,136.79141,47,,297,87,12.72,,25.2,0.0,,,,,30.7,18.2,48.2,7.3,5.0,10.0,7.9,6.7
2162,25649,36.985847,136.7914,47,,376,87,12.79,,0.0,0.0,,50.9,,,26.1,47.5,49.5,6.2,5.5,12.8,7.2,6.0
2163,25662,36.98597,136.79137,47,,397,88,12.85,,0.0,0.0,51.3,52.5,,,26.9,18.5,50.1,5.7,5.5,12.1,7.1,7.0
2164,25674,36.986084,136.79135,47,,376,88,12.88,,0.0,0.0,51.3,50.8,,,41.0,36.8,49.2,8.6,6.7,11.1,6.8,8.7
2165,25689,,,47,,354,88,12.9,,0.0,1.2,53.3,,,,29.7,46.1,49.2,8.8,6.4,9.1,8.2,8.7
2166,25702,36.986195,136.79129,46,,342,88,12.92,,0.0,0.0,52.6,51.9,,,28.4,30.5,48.2,7.3,6.4,10.8,9.4,9.1
2167,25714,36.98642,136.79123,46,,304,89,12.94,,0.0,0.0,47.8,50.1,,,13.5,16.3,48.5,7.1,5.4,8.1,8.5,8.3
2168,25729,,,46,,315,89,13.02,,0.0,0.0,51.4,52.2,,,17.6,2.0,48.9,8.6,5.3,13.5,8.0,7.0
2169,25739,36.986546,136.79121,46,,341,90,13.15,,0.0,0.0,50.8,51.9,,,41.3,30.1,48.7,6.5,5.2,14.4,7.8,8.2
2170,25752,36.986774,136.79115,46,,313,91,13.29,,0.0,8.2,53.4,,,,34.7,31.6,45.7,6.1,6.0,12.5,7.2,8.1
2171,25769,,,46,,331,91,13.27,,0.0,0.0,,,,,30.5,35.7,48.4,7.9,3.5,7.1,4.7,6.5
2172,25785,36.98689,136.79112,46,,338,92,13.41,,0.0,0.0,49.3,52.3,,,27.4,36.8,48.5,7.8,4.1,10.3,4.1,6.0
2173,25796,,,46,,321,91,13.35,,0.0,0.0,50.2,51.3,,,44.8,8.9,48.9,6.0,5.5,11.3,7.5,8.5
2174,25808,36.98712,136.79106,46,,329,91,13.28,,0.0,0.0,50.3,50.6,,,23.0,1.7,49.0,6.2,6.4,14.4,6.8,7.1
2175,25821,36.98736,136.79102,46,,363,90,13.2,,0.0,0.0,50.3,52.8,,,35.1,6.5,48.7,7.2,5.1,10.6,7.3,7.3
2176,25836,36.987476,136.79097,46,,383,90,13.16,,0.0,0.0,52.5,52.2,,,27.6,30.8,48.8,7.8,5.3,13.1,7.4,7.8
2177,25848,36.9876,136.79092,46,,351,90,13.14,,0.0,0.0,,52.1,,,14.1,33.7,48.8,7.8,5.6,10.9,7.5,7.9
2178,25861,36.98772,136.7909,46,,337,89,13.05,,0.0,0.0,,50.1,,,6.5,37.1,49.0,5.7,6.1,11.4,5.7,8.7
2179,25878,36.987843,136.79086,46,,326,89,13.0,,0.0,0.0,51.3,51.0,,,45.2,28.8,46.0,4.7,6.2,12.5,3.0,8.2
2180,25886,36.987957,136.79082,46,,316,89,12.93,,0.0,0.0,,48.8,,,9.0,33.9,48.7,8.1,3.9,10.1,2.5,7.2
2181,25903,36.988075,136.79079,46,,362,89,12.94,,0.0,0.0,52.0,51.9,,,32.2,32.5,49.1,8.2,3.1,12.2,3.3,6.4
2182,25913,36.98819,136.79077,46,,338,88,12.93,,0.0,3.0,52.5,51.1,,,35.8,17.8,48.7,7.6,5.4,13.0,4.2,7.4
2183,25926,36.988308,136.79074,46,,392,89,12.97,,0.0,0.0,53.7,,,,12.2,37.0,49.2,8.2,6.0,10.7,6.8,7.1
2184,25938,36.98842,136.79071,46,,393,89,13.04,,2.4,1.9,51.1,53.1,,,29.2,29.8,48.5,7.8,6.2,12.7,6.5,8.1
2185,25951,36.98853,136.79066,46,,340,89,13.02,,0.0,0.0,52.8,50.5,,,10.1,46.3,49.4,8.1,6.5,10.3,2.3,7.9
2186,25968,36.988644,136.79065,46,,325,89,13.04,,0.0,0.0,51.0,50.2,,,35.8,37.6,49.4,9.0,6.4,12.8,2.5,6.6
2187,25976,36.98876,136.79062,46,,322,89,13.01,,0.0,0.0,48.5,52.4,,,30.1,21.7,49.6,8.2,4.4,11.1,6.4,7.4
2188,25991,36.988873,136.79059,46,,349,89,12.99,,0.0,0.0,52.7,51.8,,,15.5,6.6,49.3,8.0,3.3,13.5,8.6,8.7
2189,26003,36.98899,136.79056,46,,350,89,13.04,,0.0,0.0,51.7,50.9,,,36.2,32.0,49.8,6.1,5.1,12.9,8.0,9.2
2190,26016,36.989105,136.79053,46,,343,89,13.02,,0.0,0.0,53.6,50.5,,,28.3,12.3,48.9,4.3,5.5,10.1,2.4,9.9
2191,26029,36.989227,136.79048,46,,335,89,13.0,,0.0,0.0,,51.2,,,31.7,31.4,49.5,5.6,5.9,9.5,1.5,8.8
2192,26041,36.989346,136.79045,45,,349,89,13.01,,0.0,0.0,52.4,51.6,,,16.3,27.3,49.6,8.0,5.0,10.6,3.9,8.4
2193,26058,36.98946,136.79044,45,,340,89,13.06,,0.0,0.0,,49.1,,,44.0,28.7,50.2,8.6,4.5,10.6,7.9,8.9
2194,26066,36.989574,136.7904,45,,336,89,13.03,,0.0,0.0,52.9,51.2,,,9.5,24.5,50.0,7.7,2.8,14.4,7.0,8.9
2195,26081,36.98968,136.79037,45,,348,89,13.01,,0.0,0.0,52.5,51.5,,,6.7,12.6,50.2,7.0,3.2,11.1,2.6,9.4
2196,26094,36.989803,136.79036,45,,336,89,13.02,,0.0,0.0,50.9,53.2,,,1.8,46.2,49.6,7.4,5.7,13.7,1.5,9.1
2197,26106,36.989918,136.79031,45,,355,89,12.97,,0.0,0.0,53.3,54.0,,,24.8,34.8,50.0,7.4,5.6,12.3,2.2,9.2
2198,26123,36.99002,136.79028,45,,363,89,12.96,,0.0,0.0,53.3,49.8,,,29.0,26.8,49.7,8.5,5.4,12.6,3.4,9.8
2199,26135,36.99013,136.79025,45,,329,88,12.89,,0.0,0.0,,54.1,,,12.0,48.5,45.9,8.0,5.5,11.3,6.3,9.9
2200,26148,36.990253,136.79022,45,,298,88,12.85,,0.0,0.0,,,,,23.7,7.3,48.5,7.7,4.3,12.8,4.4,9.5
2201,26161,36.990356,136.79019,45,,338,87,12.76,,0.0,0.0,52.9,50.6,,,36.1,37.1,49.2,6.4,5.1,12.2,4.6,6.9
2202,26173,36.99047,136.79016,45,,348,87,12.7,,0.0,0.0,53.0,50.5,,,2.5,2.2,49.2,7.1,4.9,11.8,4.3,8.8
2203,26186,36.990578,136.79013,45,,386,87,12.72,,0.0,0.0,49.8,49.7,,,21.3,18.1,49.4,7.3,5.3,11.4,4.8,9.4
2204,,36.990692,136.7901,45,,360,87,12.68,,0.0,0.0,,49.8,,,18.4,39.4,49.1,6.8,6.3,14.2,3.7,9.2
2205,26213,36.990795,136.79008,45,,339,87,12.64,,0.0,0.0,,49.0,,,15.8,42.2,49.1,5.7,6.7,10.3,3.3,9.1
2206,26223,36.99091,136.79005,45,,330,86,12.6,,0.0,0.0,50.8,51.7,,,30.2,29.4,50.0,8.3,5.0,12.0,4.0,7.9
2207,26236,,,45,,373,86,12.59,,0.0,0.0,52.5,49.8,,,25.0,25.4,50.0,8.3,3.3,11.4,7.0,9.8
2208,26249,36.991024,136.79001,45,,383,86,12.55,,0.0,0.0,49.6,51.0,,,27.2,32.2,50.2,6.4,4.3,10.1,7.0,11.0
2209,26261,36.991245,136.78998,45,,340,86,12.53,,0.0,0.0,51.3,50.2,,,25.7,35.0,49.9,6.8,5.8,13.8,5.8,8.8
2210,26274,36.991356,136.78995,45,,334,85,12.42,,0.0,0.0,50.7,50.7,,,16.4,1.7,50.0,7.5,6.1,13.5,5.4,7.8
2211,26288,36.991474,136.7899,45,,333,85,12.43,,0.0,0.0,50.7,51.0,,,39.1,40.1,49.7,7.8,5.2,11.3,2.5,9.6
2212,26297,36.99158,136.78987,45,,342,85,12.41,,0.0,0.0,50.9,52.6,,,16.7,45.6,49.6,8.0,4.7,9.8,3.7,10.2
2213,26314,36.9917,136.78984,45,,328,85,12.43,,0.0,0.0,50.9,50.3,,,46.1,25.6,49.9,7.6,2.8,12.4,7.9,9.9
2214,26322,36.99181,136.78981,45,,330,85,12.45,,0.0,0.0,49.6,51.4,,,11.8,25.5,49.3,7.1,3.2,12.6,5.8,10.7
2215,26335,36.991924,136.78978,45,,330,85,12.49,,0.0,0.0,50.5,52.6,,,27.7,27.7,49.4,7.4,6.3,9.6,3.4,9.1
2216,26347,36.99204,136.78975,45,,329,85,12.52,,0.0,0.0,47.4,51.2,,,18.2,33.0,49.9,7.7,4.6,10.8,6.4,9.1
2217,26360,36.992157,136.78973,45,,328,86,12.56,,0.0,0.0,48.8,49.7,,,27.7,34.0,50.2,7.1,4.1,10.6,8.4,10.5
2218,26372,36.992264,136.7897,45,,316,86,12.58,,0.0,0.0,51.8,51.2,,,38.3,6.4,49.8,7.8,5.6,13.0,8.4,9.2
2219,26385,36.99238,136.78967,45,,340,86,12.63,,1.6,0.0,52.6,51.6,,,33.2,39.8,47.1,7.3,5.4,12.7,8.7,9.9
2220,26400,36.99249,136.78964,45,,306,87,12.68,,0.0,0.0,41.1,,,,26.9,23.8,49.3,8.3,4.4,11.3,7.2,8.4
2221,26410,36.992603,136.7896,45,,359,91,12.74,,0.0,0.0,,52.6,,,8.2,46.4,50.0,9.6,4.0,10.8,6.1,8.1
2222,26425,36.992718,136.78957,45,,400,95,12.83,,0.0,0.0,51.7,53.8,,,33.3,28.9,50.0,6.9,7.1,11.7,8.3,9.3
2223,26435,36.992832,136.78954,45,,360,95,12.91,,0.0,0.0,,54.5,,,6.8,31.5,50.0,7.2,6.8,9.7,9.8,9.5
2224,26448,36.992947,136.7895,45,,318,95,12.87,,0.0,0.0,,51.8,,,19.7,30.2,49.9,4.9,6.7,11.1,9.1,9.1
2225,26465,,,45,,309,95,12.84,,0.0,0.0,,52.1,,,32.2,37.1,49.9,3.4,6.5,13.4,9.0,9.3
2226,26479,,,45,,314,94,12.79,,0.0,0.0,48.9,,,,28.6,34.2,49.6,3.8,6.5,10.2,7.6,8.7
2227,26490,36.993168,136.78944,45,,357,94,12.82,,0.0,0.0,,51.3,,,42.2,33.3,50.1,6.8,7.1,11.7,6.9,7.8
2228,26502,36.9934,136.78938,45,,396,95,12.9,,0.0,0.0,,54.3,,,31.2,39.1,50.2,6.3,7.1,11.8,6.6,8.1
2229,26515,36.993515,136.78935,45,,355,95,12.89,,0.0,0.0,,52.7,,,6.5,19.7,49.2,7.2,7.1,12.2,4.3,9.1
2230,26527,,,45,,353,95,12.91,,4.4,0.0,,,,,39.1,23.5,46.6,6.6,5.9,14.5,2.1,9.1
2231,26540,36.99363,136.78932,45,,343,95,12.88,,0.0,0.0,49.6,50.7,,,18.9,1.0,49.6,5.9,6.4,13.3,1.9,7.2
2232,26553,36.99386,136.78926,45,,374,95,12.88,,0.0,0.0,49.8,,,,34.7,47.5,49.4,8.3,7.3,11.0,2.6,7.0
2233,26569,36.99397,136.78923,45,,370,95,12.94,,0.0,0.0,49.7,53.8,,,41.6,21.6,49.6,5.9,7.8,10.6,5.9,8.7
2234,26578,36.99409,136.7892,45,,343,95,12.92,,0.0,0.0,55.3,51.0,,,36.4,44.8,50.1,6.2,8.0,13.4,7.7,8.2
2235,26590,36.9942,136.78917,45,,340,95,12.96,,0.0,0.0,51.4,52.9,,,12.5,36.5,49.8,6.3,8.1,12.2,6.2,8.1
2236,26607,36.994316,136.78915,45,,343,95,12.92,,0.0,4.7,51.4,51.8,,,28.0,45.4,49.7,8.1,7.5,11.5,4.4,9.2
2237,26618,36.994427,136.78912,45,,365,95,12.94,,0.0,0.0,,51.8,,,26.4,33.2,49.9,8.8,6.7,14.2,3.5,10.2
2238,26630,36.99454,136.7891,45,,347,95,12.93,,0.0,0.0,,52.9,,,31.9,38.9,49.7,7.7,6.3,10.9,3.7,10.7
2239,26643,36.99465,136.78906,45,,356,95,12.91,,0.0,0.0,,50.3,,,27.1,33.2,49.3,7.3,6.7,10.9,5.9,9.6
2240,26659,36.994766,136.78902,45,,400,95,12.86,,0.0,0.0,50.3,52.3,,,43.2,25.7,50.0,7.2,7.1,11.8,7.6,8.3
2241,26668,36.99488,136.78899,45,,384,95,12.87,,0.0,0.0,49.4,53.6,,,20.3,10.9,49.9,6.0,7.0,10.7,5.4,8.5
2242,26680,36.99499,136.78897,45,,404,95,12.88,,0.0,0.0,50.5,53.1,,,32.9,36.6,49.8,6.7,7.1,12.4,4.9,9.7
2243,26693,36.9951,136.78894,45,,353,95,12.84,,0.0,0.0,51.0,51.4,,,36.8,19.1,49.1,8.7,6.6,12.0,6.5,9.1
2244,26706,36.99521,136.78891,45,,334,94,12.76,,0.0,2.6,,,,,11.6,36.6,48.0,7.1,4.9,14.0,9.1,10.1
2245,26718,36.99532,136.78888,45,,300,93,12.66,,0.0,0.0,,48.8,,,29.3,17.3,49.1,4.3,4.6,9.1,7.4,8.9
2246,26731,36.995426,136.78885,44,,318,93,12.56,,0.0,0.0,,,,,35.1,31.1,49.4,4.0,5.2,10.6,6.0,7.2
2247,26747,36.99555,136.78882,44,,333,92,12.55,,0.0,0.0,,52.2,,,43.8,24.7,50.0,5.2,6.8,11.8,7.4,8.1
2248,26756,36.995663,136.78879,44,,366,93,12.58,,0.0,0.0,51.5,49.5,,,28.6,35.3,50.0,6.9,6.5,9.0,8.5,10.1
2249,26768,36.995773,136.78876,44,,385,93,12.6,,0.0,0.0,48.8,,,,28.1,33.0,49.0,6.8,7.0,12.2,8.6,9.6
2250,26781,36.995888,136.78873,44,,384,93,12.66,,0.0,0.0,51.7,54.0,,,34.6,47.1,49.7,7.1,7.8,11.8,8.7,8.7
2251,26794,36.996002,136.78871,44,,378,94,12.72,,0.0,0.0,51.1,,,,42.3,45.8,49.5,5.2,8.0,11.8,8.4,8.8
2252,26810,36.996117,136.78867,44,,351,94,12.77,,0.0,0.0,50.4,50.5,,,42.7,28.9,49.3,6.4,8.5,9.5,8.0,7.9
2253,26825,36.996223,136.78864,44,,343,94,12.77,,0.0,0.0,51.8,51.2,,,25.0,29.6,49.4,6.0,7.6,10.2,7.2,8.1
2254,26836,36.996338,136.7886,44,,310,94,12.77,,0.0,0.0,,50.4,,,38.1,21.7,50.3,5.8,6.9,10.5,5.8,7.9
2255,26848,36.99645,136.78857,44,,338,94,12.81,,0.0,0.0,44.8,50.4,,,19.1,37.0,47.0,9.2,6.3,11.1,7.5,9.0
2256,26861,36.99656,136.78854,44,,300,94,12.78,,0.0,0.0,44.8,,,,42.1,37.1,48.9,9.6,5.5,11.5,8.4,11.4
2257,26873,36.996674,136.78851,44,,371,94,12.78,,0.0,0.0,52.2,52.2,,,37.6,28.0,49.9,8.5,5.3,12.9,6.1,8.6
2258,26888,36.996788,136.78848,44,,389,95,12.85,,0.0,0.0,52.2,52.8,,,41.4,21.5,49.6,6.3,7.4,11.8,4.4,8.6
2259,26898,36.996902,136.78845,44,,372,95,12.9,,0.0,0.0,,51.4,,,28.9,22.3,49.6,5.9,7.9,11.1,4.8,8.5
2260,26915,36.997025,136.78842,44,,310,95,12.9,,0.0,0.0,50.9,49.9,,,20.1,29.7,50.2,5.5,6.9,9.3,7.8,8.4
2261,26924,36.997143,136.78839,44,,296,95,12.87,,0.0,0.0,50.9,51.6,,,36.0,11.8,46.3,6.5,7.0,12.2,8.7,8.6
2262,26936,36.997253,136.78836,44,,260,95,12.87,,1.5,10.4,41.5,,,,37.6,44.6,48.1,7.7,6.0,14.2,7.8,10.0
